,question,answer
0,Здравствуйте! Хочу записаться на пробный урок завтра на 11:00 по мск,"Алина, добрый день! 👋 Завтра в 11:00 по мск. времени наш специалист проведет для вас пробный урок по видеосвязи через Zoom 🧑‍💻 Если у вас остались вопросы, то будем рады ответить на них здесь😉 Телефон для связи с нашим менеджером: +7 (951) 064-50-90 Ссылка на подключение к видеосвязи: https://us06web.zoom.us/j/84543204916?pwd=dUZCdTArR1NJUG1sejFuMnNEM1pZUT09 Вам ничего не нужно скачивать, достаточно перейти по ссылке и подключится к видео встрече 😊"
1,Здравствуйте,Здравствуйте!
2,При подключении просит код доступа к конференции,Одну секунду)
3,Ок,Идентификатор конференции: 845 4320 4916 Код доступа: 378412
4,Получила Код доступа Не подходит После переподключенич,"Проверьте, пожалуйста, вроде, не должен был поменяться"
5,Подключился,@innoprog_bot
6,"Спасибо Вам за проведенный пробный урок, я в восторге😃😃😃 мне все понравилось, даже очень! Работать с Вами буду однозначно! Спасибо еще раз!","Алина, спасибо большое за обратную связь! Мы очень рады! Если будут какие-либо вопросы, мы всегда на связи😊 Добрый день, Алина! 👋 Вы активно проявили себя на нашей платформе, поэтому мы дарим Вам скидку на обучение 🥳 Переходите на нашу платформу INNOPROG , вводите в строке сообщения промокод: /goIT и получайте скидку 15% на обучение по тарифам MEDIUM и PRO 👈😉 * Акция действует до 25.11.2023 г ."
7,"Спасибо, 25-ое включительно? 25 зарплата, хотела в этот день и оплатить","Добрый день, Алина! 👋 Да, всё верно, 25 включительно"
8,"Ок, спасибо","Алина, добрый вечер! Вы говорите про файл с расширением .py?"
9,Да У меня он не открылся после создания education У вас на видео сразу вместо этих букв загрузился файл. А у меня так ничего и не загрузилось. Как его создать?,"А при создании точно все галочки были, как на видео?"
10,Может быть и нет. Как теперь их вернуть?,Можно перезагрузить pyCharm или создать новый проект (File -> New Project…)
11,Сейчас попробую,"Лучше на каждом этапе отправляйте скриншот экрана, чтобы точно все пункты были выполнены)"
12,Ок,Нажмите на треугольник рядом с «Project Interpreter…”
13,Ок,"И лучше назовите проект по-другому, потому что education уже существует Можно любое название придумать"
14,Две галочки которые есть на видео у меня не отображаются Самая нижняя Название поменяла,Попробуем без них сейчас обойтись Нажимайте Create
15,Ок,This Window
16,Открыла,"Нажмите правой кнопкой по educationn, выйдет New Python File Потом нажмите на эту надпись и создайте файл main Расширение само добавится"
17,Все Создалось 😊,"Напиши программу и на пустое поле кода кликните правой кнопкой мыши, выберите run с зеленой стрелочкой И должно заработать"
18,Заработало!) Спасибо Еще вопрос есть Ответ на задание даю А бот мне ошибку дает На отступы вроде Не могу понять,"Все верно, бот ругается на отступы. Важно поставить перед print отступы (несколько пробелов)"
19,"Ок Спасибо, получилось",Обращайтесь)
20,"А вот здесь, нужно заменить символ +","Здесь проблема в некорректном символе, который в самом начале строки с print. Там как будто пробел, но на самом деле это не пробел) Если вставите этот код в PyCharm, Вам некорректный символ выделит он Или можете нам отправить, мы исправим)"
21,Сейчас попробую исправить Ту ошибку исправила Теперь выдает эту,"Можете, пожалуйста, выслать код)"
22,first_number=int(input()) second_number=int(input()) third_numder=int(input()) if first_number+second_number < second_number+third_numder: print(first_number+second_number) else: print(second_number+third_numder),"Вот так выглядит, когда вставляете в PyChram, неверные символы Это происходит из-за копирования кода) first_number=int(input()) second_number=int(input()) third_numder=int(input()) if first_number+second_number< second_number+third_numder: print(first_number+second_number) else: print(second_number+third_numder)"
23,"А я его вручную переписываю с компьютера. Сейчас установлю телеграмм на компьютер, чтоб копировать код в телеграмм","На будущее, когда будете отправлять код, вставляйте в ` Тогда Telegram понимает, что это Python код и делает его ""красивым"")"
24,Хорошо,Попробуйте отправить)
25,Ок Прошла,"Да, лучше установите на компьютер) Также бот поддерживает проверку файлов, когда вы отправляете ему на проверку файл напрямую с расширением .py, а не сам код"
26,А отправлять на прямую файл? Как?,Можно скопировать файл и вставить в бота Или перетащите с PyCharm
